Node	CF	CN	CR	C^	Cr	C~
1140	23554	17993	38230	2255	69	1099
1141	8098	8878	21672	1101	115	403
1142	62609	55426	151372	6972	988	1507
1143	43572	45573	103288	8361	971	1635
1144	6093	3439	18816	172	26	26
1145	33522	29685	72578	4250	839	1680
1146	171496	227694	438302	44777	5347	13996
1147	28906	23454	54499	3083	468	1321
1148	8760	3343	16811	146	0	10
1149	16754	22025	55079	4084	315	1522
115	2371	1683	8840	140	30	8
1150	3662	5140	17485	1183	54	402
1151	27900	22045	50569	2898	364	1305
1152	74727	79707	163524	15149	1913	3566
1153	7193	10783	31050	1943	251	683
1154	42474	42344	98378	6359	1145	2017
1155	29522	23614	55240	2896	517	1245
1156	4894	5592	13971	556	78	291
1157	22302	6448	25683	1249	207	414
1158	128585	125330	230161	7776	539	466
1159	627686	912483	1582239	173264	40096	19861
116	17686	12502	26107	2981	96	505
1160	538707	698294	1048137	128879	26563	12638
1161	55949	66542	91921	1361	99	18
1162	554327	1296943	1066664	486161	10365	316368
1163	40863	45456	69797	279	218	2
1164	922161	1509481	2027208	464197	72483	111205
1165	593792	749554	803585	226870	5078	44415
1166	109528	134160	408550	8902	3347	575
1167	438171	488680	800993	60118	6736	4228
1168	610926	1329972	1617824	365654	32734	141619
1169	175176	255981	560149	21398	4038	2617
117	23102	4781	15886	174	19	17
1170	548261	1321172	1447603	376182	33956	149487
1171	557329	1300243	1463362	374818	34081	147999
1172	682544	1191097	1457103	406405	38711	108517
1173	527722	2070697	1653837	685583	66036	629790
1174	560974	821180	1029049	207514	20602	39338
1175	615129	881473	1075596	287028	17184	65411
1176	567118	1408738	1536469	547169	26240	237261
1177	61473	60191	87025	708	273	6
1178	721544	1073152	1297826	316008	38219	67929
1179	473267	717361	949351	156436	11749	24683
118	44475	35330	121846	5187	1239	745
1180	680951	1062719	1417978	296086	30640	62332
1181	905627	1545800	1877372	494848	85694	106336
1182	615709	850369	1071473	261614	14582	58128
1183	513918	2037398	1611725	679800	65962	628883
1184	591088	768624	851129	247738	3087	51651
1185	446180	575346	821556	92154	12930	10348
1186	554327	1296943	1066664	486161	10365	316368
1187	869724	1480933	2009551	476623	49253	149895
1188	182429	214499	527225	14177	6344	1014
1189	135610	125478	211058	4875	1220	63
119	9509	7932	24032	991	229	157
1190	616	540	10535	15	6	5
1191	436940	498959	1100556	64138	8153	17867
1192	25343	31391	52344	343	46	5
1193	100088	114968	302889	10056	2134	2122
1194	2421	2254	17718	11	18	1
1195	140157	158238	268644	8050	1569	3348
1196	102276	116995	290356	11757	1579	3742
1197	32542	36923	87670	3576	284	1378
1198	90012	99557	194980	18253	1386	5795
1199	81973	93710	226908	17289	2779	4705
12	47436	76358	156093	14677	1681	6137
120	5493	9318	19864	84	19	5
1200	298747	352914	698335	37134	2831	1533
1201	133258	131948	309392	13254	1753	3989
1202	19898	18407	57884	1612	434	482
1203	94757	91015	204591	18493	2427	3745
1204	9261	4768	25325	176	36	56
1205	25681	30414	104996	2267	465	278
1206	10717	7933	30357	1536	154	319
1207	50791	69383	156202	13607	1534	4196
1208	47359	60307	138113	6500	452	2767
1209	12966	19057	47745	2511	503	956
121	537	641	2939	12	11	5
1210	84864	110066	216380	23463	2734	7680
1211	81155	80655	214261	12394	1900	3866
1212	7500	7268	31277	442	66	164
1213	41694	51517	122429	8702	962	3174
1214	37369	36708	100100	5116	533	1691
1215	124487	79463	197774	5300	521	1584
1216	46562	20623	64178	2875	446	566
1217	20068	23795	67316	2929	633	1035
1218	42443	37006	104212	923	338	155
1219	30986	22808	59622	3660	317	1008
122	11523	14142	50789	1100	13	356
1220	49813	56560	145154	9352	1403	2341
1221	21657	18440	53554	2989	790	648
1222	31094	37450	104306	5548	1196	1642
1223	38159	52658	130562	5025	268	2171
1224	35800	57769	137899	9329	604	3708
1225	94075	53102	159241	2976	734	715
1226	24796	35980	77341	7127	1300	2137
1227	92933	122581	246221	25762	3321	7999
1228	110651	122795	345064	18119	3532	3967
1229	50608	64009	141323	11082	1362	3627
123	329663	397758	672716	56531	7226	6084
1230	43290	24837	118425	2250	786	599
1231	15218	8849	28145	700	93	106
1232	80430	106259	234726	20701	2010	6050
1233	67543	76834	182219	8342	1135	3064
1234	33290	47316	106936	8719	805	3242
1235	37478	43719	102596	7310	538	2876
1236	23114	19102	66669	2204	810	473
1237	61135	16458	110454	375	252	12
1238	57622	69396	165874	13201	1762	3812
1239	16401	15606	45281	1636	398	547
124	30029	42821	126393	4708	254	1559
1240	28097	36802	84047	6977	1444	1997
1241	28876	41328	89245	8644	1296	2492
1242	22704	21610	59748	3859	1061	756
1243	14045	16108	63084	499	126	174
1244	6933	5279	26492	342	98	76
1245	259990	305420	442729	27072	4018	1310
1246	26603	32315	84098	5361	1501	1306
1247	56993	71797	171404	12836	1174	4349
1248	21892	25216	101071	1946	324	559
1249	57682	61789	174872	7523	2141	2147
125	46357	70149	146028	6089	212	2163
1250	65922	90770	212497	13175	1484	3876
1251	29468	29871	83656	5930	980	1227
1252	40792	45586	99056	8090	825	2281
1253	29136	34263	83867	6590	1418	1597
1254	65745	74807	164970	14165	1431	4341
1255	14129	14980	46911	1580	512	450
1256	47196	56396	145005	10485	1753	2676
1257	25927	23100	86428	2781	933	552
1258	104422	110808	292074	18089	2910	4847
1259	22803	21263	62064	3905	1080	847
126	12940	17930	69795	1523	67	586
1260	19322	18724	82948	1236	311	323
1261	26985	29718	77138	2590	316	665
1262	75174	99082	224103	17393	1967	5483
1263	25329	32416	75751	4510	405	1934
1264	77587	94245	193989	15836	1923	4840
1265	7042	4135	12602	167	50	13
1266	35385	48445	147593	5665	1110	1989
1267	7980	3481	18452	166	7	4
1268	20424	24804	79717	3589	527	1290
1269	4209	1942	4506	35	0	4
127	30456	39430	116059	3930	96	1460
1270	6427	3546	12736	159	68	11
1271	4817	4268	15964	467	58	98
1272	39623	30123	79572	3637	506	710
1273	80809	34539	123809	2602	787	493
1274	86272	44938	152702	4476	1109	788
1275	107088	141853	263379	27996	3400	8093
1276	21424	9410	19535	565	16	301
1277	178504	101909	352940	12599	3174	1953
1278	58244	29695	97707	4335	1401	921
1279	23955	5707	17866	389	25	32
128	470471	565235	874381	100945	12989	11261
1280	39700	21058	60663	1983	358	633
1281	57658	54986	146320	10944	1811	3196
1282	31767	13827	38462	1433	199	207
1283	204508	314138	482446	68945	5583	25331
1284	24252	10841	31301	971	89	172
1285	75764	68720	128509	12413	1505	2653
1286	59718	42021	127570	4489	843	877
1287	65640	62781	140370	3974	614	1545
1288	115936	84717	259076	6886	1694	963
1289	21273	8913	18265	485	5	295
129	471948	720171	1093093	218651	13607	48559
1290	118171	98713	232787	16174	2704	3187
1291	32789	15466	39141	1385	197	357
1292	41155	28994	76879	3155	444	686
1293	42747	29520	91070	3244	652	655
1294	58637	74091	133145	14003	1119	4325
1295	69355	52008	98675	8914	1358	1594
1296	34235	17119	54546	1103	126	259
1297	107316	129349	259158	23979	2281	6481
1298	23068	4403	23627	65	41	3
1299	21755	5297	14015	280	1	30
13	38585	21297	45982	1227	106	126
130	198575	272669	433495	31919	3568	3871
1300	81881	78417	197382	12591	3630	1895
1301	39850	27755	81873	2664	756	553
1302	133044	90313	258231	11979	2685	1731
1303	21538	10634	22727	720	64	316
1304	59380	15484	37475	1150	164	151
1305	31844	25230	69264	3997	562	1253
1306	50207	24162	53678	2787	453	418
1307	9217	2891	9476	258	27	22
1308	23237	15767	44979	2098	625	572
1309	16709	7397	35266	700	282	64
131	102943	217832	444457	31199	2594	15844
1310	16554	5201	16454	604	81	63
1311	8375	7367	25180	882	113	417
1312	10579	3988	13064	367	50	81
1313	220465	106797	387207	12664	3982	1644
1314	13979	8860	21002	1123	139	435
1315	5615	6580	20337	891	163	418
1316	36955	15184	51745	1728	1265	181
1317	18160	6129	18689	753	68	85
1318	19170	12232	42097	1153	163	496
1319	15895	6025	26577	571	488	134
132	7099	3717	9293	233	0	56
1320	49057	39091	93742	2828	525	766
1321	33244	13917	31914	1435	175	609
1322	61490	31712	115140	3380	1112	386
1323	53616	46636	114160	2758	617	776
1324	41903	15682	37294	1644	318	262
1325	55120	16350	42110	1220	176	241
1326	21365	8773	24680	1128	198	155
1327	39896	18938	47037	1266	150	213
1328	23348	23290	54843	3653	604	1108
1329	10799	3863	13317	368	66	31
133	12533	14917	56641	1244	3	377
1330	51579	29818	78757	3727	1237	746
1331	41438	11587	29480	1156	364	170
1332	74318	40209	97370	5061	770	912
1333	41538	16849	41113	1720	302	314
1334	817	415	2507	12	0	0
1335	12833	6094	16197	486	112	45
1336	257	99	1121	0	1	0
1337	27654	23523	46255	3841	530	948
1338	8977	7725	24982	1004	404	113
1339	54885	57996	130139	10631	1100	2935
134	345587	441324	633760	81671	7086	8132
1340	7532	5498	13358	720	131	77
1341	566	569	3410	6	1	0
1342	10627	5560	17068	428	176	24
1343	25508	16925	60332	1439	235	230
1344	47908	58398	153610	10347	1723	3655
1345	89727	60705	182685	8775	2764	1193
1346	17979	15990	57569	1081	331	1001
1347	12387	23770	41617	1019	35	1006
1348	63686	88109	199920	4344	1066	1373
1349	290217	293198	826006	43773	8298	12196
135	20	100	562	0	0	0
1350	12130	22618	35457	830	6	984
1351	70768	76057	211953	6797	1082	2095
1352	36586	27663	81972	1641	420	159
1353	16646	9994	40549	892	247	602
1354	5978	10827	29419	1121	169	1030
1355	33353	50517	111715	10271	920	4190
1356	120069	169397	391751	25892	1755	13414
1357	35828	33607	100926	2313	373	1151
1358	49614	31325	107673	2822	312	1242
1359	81329	86392	207355	4061	915	3342
136	383877	384288	801131	43372	3741	18035
1360	4775	9800	23244	825	4	979
1361	46230	62315	149203	10749	1558	4268
1362	4952	10276	25281	936	23	991
1363	54618	51180	145225	6957	1292	1527
1364	47126	45440	128214	3190	743	1284
1365	47893	52551	138964	10659	1161	4381
1366	28452	33895	88230	9174	1069	3561
1367	70239	42462	135020	4259	1070	752
1368	36873	50600	122787	9448	1091	3638
1369	47971	63013	147915	16389	1217	6234
137	21758	22031	71841	2227	92	446
1370	70592	72736	205345	6154	925	1974
1371	28508	38536	94127	9647	981	3908
1372	19889	15970	55234	1945	453	370
1373	44836	40720	142116	5624	1728	1371
1374	147431	130972	245915	19355	1434	6871
1375	27311	7555	26817	454	32	72
1376	9991	13814	47715	1796	235	641
1377	19156	14471	56142	1088	129	277
1378	59937	67866	178409	6760	1345	1520
1379	9941	8292	23377	1145	70	180
138	7284	3852	10974	251	2	56
1380	30589	37982	112159	2912	563	776
1381	2478	2315	10717	398	105	70
1382	27011	33186	97625	2249	424	627
1383	26318	24537	65131	1664	240	623
1384	15619	19074	68812	1904	239	684
1385	6079	4201	19052	305	124	19
1386	6180	6701	22059	849	112	218
1387	39112	30121	115959	2960	1225	573
1388	26601	32635	77704	5630	623	1874
1389	19149	18829	54980	2033	636	475
139	17013	21718	79731	2062	125	627
1390	849	666	4684	72	11	11
1391	4309	3467	14378	455	100	49
1392	41385	33860	117391	3400	1213	510
1393	11234	11899	43063	1244	119	469
1394	14707	13015	43697	1539	288	399
1395	27920	16545	50551	1874	483	189
1396	35762	41908	110499	6664	1596	1829
1397	13719	10325	34392	1291	248	280
1398	3774	2922	12660	187	49	25
1399	36913	40049	109451	6442	1348	1946
14	15274	25559	53944	4750	222	3145
140	8869	15578	44541	2003	231	844
1400	45511	43418	126155	7112	1749	1476
1401	3860	4490	12002	878	86	328
1402	19603	21883	43432	1311	79	577
1403	27396	12222	38065	1230	146	765
1404	24080	24279	55629	1726	140	959
1405	28350	27395	69852	2320	209	1036
1406	2059	1980	10162	365	60	42
1407	32198	16725	53981	1759	415	846
1408	7952	11113	29418	1662	141	946
1409	4170	3328	10876	543	106	109
141	25370	36723	66962	6635	1415	3238
1410	3902	5773	20086	1250	223	486
1411	12798	14847	41552	1918	141	1016
1412	21591	24100	53169	1742	146	807
1413	25789	12717	34759	1436	110	1038
1414	18023	13879	34773	727	87	159
1415	28484	43563	129604	4751	904	1699
1416	18168	5706	22862	508	411	22
1417	18877	7416	27745	534	324	54
1418	16455	3200	18944	165	383	1
1419	14839	2463	12298	127	298	0
142	21634	25019	63726	3877	677	1162
1420	16680	13807	62508	1463	317	233
1421	102134	67013	180257	2419	1458	434
1422	13	7	234	1	0	0
1423	15	20	256	1	0	0
1424	9602	3801	9387	55	0	0
1427	28	8	131	0	0	0
1428	878	654	4008	46	11	4
1429	1481	800	3173	42	0	2
143	26421	26898	54381	5536	1229	1623
1430	34291	22529	91878	3075	3128	232
1431	12108	8525	24628	731	162	95
1432	7173	6306	15034	754	88	141
1433	5341	4389	10893	505	34	81
1434	64419	39942	149982	5659	4502	647
1435	40748	37391	111321	4462	1290	1024
1436	17971	10256	43916	1311	2154	139
1437	6658	5842	17364	553	115	104
1438	13400	13546	42738	1461	211	565
1439	37603	49488	109078	9687	1173	3237
144	5238	4191	12499	378	79	112
1440	13839	7350	31721	817	750	84
1441	29457	43653	84221	8126	928	2635
1442	37499	42990	107107	6366	1693	1902
1443	22669	23604	72373	2778	772	623
1444	6555	9152	26173	1069	207	428
1445	37835	55146	112064	10847	1133	3734
1446	25543	10801	59113	622	268	67
1447	45692	56340	123260	11269	1543	3483
1448	5899	3849	11671	344	65	42
1449	12093	12550	35550	1239	215	535
145	24219	39050	78323	6384	824	3872
1450	6284	8807	24727	1016	200	424
1451	17716	19780	61972	2582	417	560
1452	22077	19476	60259	2738	1606	648
1453	22025	32752	73811	6876	860	1913
1454	7458	5096	17501	588	53	73
1455	76219	66292	168468	10674	4229	2980
1456	4400	3878	10294	394	28	71
1457	22974	22302	61851	2200	442	599
1458	30436	17491	83282	1729	2386	239
1459	21190	24421	66267	3685	1207	955
146	9820	25120	37412	4758	434	3395
1460	27202	14777	65704	1552	2575	144
1461	39933	29434	98713	2801	1334	306
1462	15345	6683	31736	550	279	41
1463	1511	810	3453	42	0	2
1464	16777	24100	56620	4173	522	1333
1465	22935	28631	75813	2599	472	1644
1466	1576	3722	7170	581	6	520
1467	1339	4786	8328	628	17	855
1468	2279	5017	11146	707	56	582
1469	1324	4781	8401	651	13	866
147	13204	13512	37003	1884	437	300
1470	10478	11670	29571	1680	123	1184
1471	6950	8592	25263	1327	107	716
1472	4586	9306	21153	1615	78	1179
1473	60377	49638	79433	1380	244	760
1474	11108	9167	28282	1276	114	1060
1475	35217	25487	51715	827	162	823
1476	20640	15793	39187	1239	88	1007
1477	68722	147003	200954	9213	402	12181
1478	30759	25377	69669	2431	180	1317
1479	1624	4631	8719	545	18	816
148	91343	78624	168926	4195	566	956
1480	4174	9431	19700	1836	95	1234
1481	2680	4980	9225	695	29	700
1482	1581	5096	10488	691	33	898
1483	2784	2250	10192	278	23	71
1484	50172	40141	99117	1693	528	511
1485	7334	6128	22770	712	100	291
1486	998	831	4354	79	22	4
1487	11052	7927	28270	601	34	285
1488	48503	43933	123552	6209	687	1780
1489	2742	2295	10386	333	22	91
149	97919	66904	198316	8906	1539	2123
1490	15172	9791	33299	638	34	363
1491	17905	20179	78179	1247	204	534
1492	18160	15402	35267	2738	328	536
1493	96873	51881	201680	5100	952	898
1494	24333	26627	80608	2818	432	876
1495	38161	26916	92252	2824	294	559
1496	42679	32783	103916	2618	384	662
1497	76821	60562	109990	2532	121	709
1498	5271	8162	24317	1293	182	588
1499	16320	13116	44007	1694	270	155
15	44204	68240	136688	13752	1165	6242
150	45461	42492	115556	3701	818	1190
1500	54181	54815	165552	4941	658	1166
1501	18090	24149	81546	5784	174	1485
1502	9967	2099	9878	111	11	2
1503	10278	3314	11486	268	6	39
1504	35579	47326	157097	6656	492	1609
1505	548302	727183	837271	174248	12917	22747
1506	20432	14961	40981	1138	80	435
1507	27826	21728	75637	1778	291	493
1508	16032	9135	33794	743	69	124
1509	17422	8951	40239	498	31	56
151	25857	29265	64767	1930	151	847
1510	4486	1847	10775	148	27	14
1511	2371	1168	5612	125	16	13
1512	163763	206012	314325	15253	751	694
1513	23610	19398	58817	1834	164	550
1514	16938	7870	28062	648	70	79
1515	24961	24220	56189	3691	520	810
1516	21645	14318	41785	1079	160	353
1517	21880	17429	45567	2489	300	599
1518	3874	1745	7997	170	12	17
