Node	CF	CN	CR	C^	Cr	C~
1643	221886	328606	553341	76044	6530	28911
1644	72175	127998	233051	20645	1250	11821
1645	56681	52576	157960	4493	711	746
1646	75544	107841	203810	21889	1729	7377
1647	42518	35656	73657	5854	1333	593
1648	201369	328015	466792	87082	6465	31661
1649	147891	247253	378419	60864	5704	24375
165	15259	13378	30277	1892	211	832
1650	192527	306936	463112	74841	6582	27788
1651	32589	36967	104979	4436	868	1231
1652	16484	27238	89333	1164	124	146
1653	62141	86902	141985	23334	3703	5493
1654	69080	127387	194361	36735	4169	14892
1655	68858	112305	174498	29020	4851	8223
1656	104666	118916	244488	26980	5145	5816
1657	363714	353077	619539	77280	10655	20822
1658	83550	117086	188633	21875	1704	8741
1659	60409	36230	68137	5876	578	828
166	24453	19964	67624	2628	659	467
1660	77104	82558	181507	16901	2780	3941
1661	128550	92817	324400	9405	3426	1029
1662	61379	84966	118785	22464	1844	8409
1663	85011	127050	200132	31375	4071	10626
1664	95277	131860	238927	31717	5131	8936
1665	89619	133813	211289	37680	4934	12111
1666	41626	51091	115257	7850	1030	2036
1667	186134	316801	450384	82599	5137	31840
1668	41051	44779	115729	5437	726	1453
1669	153959	146613	315843	29041	5347	7271
167	13884	7566	20300	1056	166	258
1670	98942	94629	169652	20026	2974	4508
1671	169527	198601	377310	43365	9852	9406
1672	52365	88515	124841	20890	2268	7634
1673	199165	236392	476590	45588	7944	10048
1674	70932	134635	205036	38160	4251	16343
1675	46430	68567	130342	17014	3193	4352
1676	71337	76566	128086	17853	2866	3931
1677	25766	17590	57432	1128	330	235
1678	61516	38192	86984	5587	576	778
1679	64150	90925	167587	20459	2540	5826
168	12528	16719	32835	2587	345	1170
1680	55200	55769	98556	11982	1991	2252
1681	114679	170719	314224	38323	5959	14013
1682	122230	176656	322199	43460	6807	11046
1683	54360	66859	115608	17499	1711	4824
1684	140363	170214	308320	33052	5343	8728
1685	168992	179676	388406	36243	7491	9078
1686	25455	14199	40414	1175	209	47
1687	361519	289307	716028	52194	7157	10524
1688	50283	52452	118943	9915	1705	2018
1689	87043	125709	230131	30340	3583	12289
169	19415	17190	40205	2664	502	909
1690	251515	304010	606472	63369	10874	19602
1691	231023	267966	583995	46053	8576	11981
1692	78545	122430	205086	30512	4856	10680
1693	125883	216563	309504	59460	7303	20986
1694	83786	106910	168386	26734	2970	10543
1695	61103	94394	161959	26711	4165	7499
1696	213044	330489	512894	81110	6661	30386
1697	151955	249906	365662	67476	7626	23726
1698	72311	71486	121066	17530	2203	3946
1699	122869	196624	302909	49532	6544	16793
17	21141	3980	19077	11	16	0
170	36740	46573	96824	9694	1648	3229
1700	412	514	3758	81	1	10
1701	69915	67793	173754	11877	3926	1358
1702	6844	11121	51863	2177	221	929
1703	75	360	1520	73	0	10
1704	32970	8063	27994	450	85	32
1705	24937	12562	74872	1167	252	118
1706	70943	57966	169363	8374	1833	1616
1707	29947	21569	104404	1779	393	456
1708	6338	3920	13808	480	111	101
1709	17470	13356	56278	1460	320	319
171	476810	1581309	1258019	446734	14758	470179
1710	64690	30067	129116	2865	629	536
1711	794923	939052	1715768	174878	28582	22704
1712	25372	18016	64227	1645	277	407
1713	44576	35843	153216	3168	771	609
1714	25097	20319	81888	2064	378	487
1715	25025	17238	60803	1777	233	386
1716	5338	1741	9842	167	26	14
1717	18302	16351	60407	1630	295	484
1718	50292	43549	112710	2148	395	519
1719	27208	14146	72276	565	318	93
172	2276955	5028518	3613417	1660534	130385	1007900
1720	49249	37033	81115	980	235	166
1721	134645	100538	144251	3233	416	481
1722	44599	37027	76145	1444	345	493
1723	10099	9555	25062	1382	94	617
1724	67584	57742	195095	2426	516	369
1725	5764	2792	11807	48	28	4
1726	46245	41359	155612	3185	788	749
1727	5009	5024	24848	123	35	3
1728	7900	3884	17266	74	41	4
1729	40128	43678	153303	4545	799	1060
173	808790	1977312	2265340	610180	46274	365699
1730	11539	26767	76563	2665	156	3310
1731	15629	4796	22047	215	30	8
1732	18429	24540	69238	1352	219	391
1733	66391	48897	111982	7632	1620	1287
1734	59928	49921	120484	6621	1332	2258
1735	9	105	98	102	0	123
1736	12	117	48	60	0	156
1737	26	181	427	49	0	5
1738	432	429	2292	0	0	0
1739	102271	87762	164529	5858	809	2437
174	738650	2698793	2201417	925446	91720	764942
1740	307	139	1945	0	0	0
1741	33	20	246	0	0	0
1742	5	6	42	0	0	0
1743	101	41	423	0	0	0
1744	835	1103	4427	28	2	4
1745	147	139	331	0	0	0
1746	6	8	39	0	0	0
1747	3629	5418	14640	710	52	346
1748	0	1	6	0	0	0
1749	2637	1934	11770	97	32	1
175	439061	1687879	1094364	462816	15519	548362
1750	5753	8109	22452	1473	155	411
1751	1719	670	5075	50	15	4
1752	4058	2437	11380	208	75	15
1753	34838	12201	40686	768	162	237
1754	327	116	1271	1	0	0
1755	10063	1710	12113	14	11	10
1756	5057	3579	16620	326	49	50
1757	14353	7632	35423	379	217	37
1758	0	2	21	0	0	0
1759	3	2	38	0	0	0
176	394016	1765545	1203151	499990	16869	591575
1760	95	60	517	0	0	0
1761	508	164	1800	9	3	0
1762	451	129	1591	3	2	0
1763	343	508	1988	19	21	8
1764	22553	10157	58313	912	261	79
1765	1443	927	3868	65	8	13
1766	887	745	2815	63	17	4
1767	2	10	38	1	0	0
1768	19	82	83	3	0	0
1769	7	21	225	1	0	0
177	323942	379149	979962	37540	15313	3323
1770	1	8	20	0	0	0
1771	0	6	15	1	0	0
1772	2853	2404	9530	21	0	20
1773	2	2	31	1	0	0
1774	646	1449	3653	322	7	174
1775	687	1569	4168	352	5	187
1776	505	617	2058	121	6	43
1777	18010	9119	45272	526	65	94
1778	395	980	2452	190	2	123
1779	476	831	2430	180	8	75
178	827861	1172758	1787561	379561	12052	106121
1780	14574	10014	51135	555	72	134
1781	254	838	3051	142	0	83
1782	350	883	2561	217	13	94
1783	266	768	1796	104	0	102
1784	16372	11855	36512	374	17	123
1785	3326	2251	8836	340	27	141
1786	362	675	2791	142	0	67
1787	3356	2511	9959	293	32	91
1788	3698	2326	8902	165	17	80
1789	2400	1741	12117	162	16	72
179	614196	2849790	2077811	927030	109744	775977
1790	387	877	2159	160	1	83
1791	189	282	563	60	0	10
1792	234	773	1636	123	0	108
1793	236	798	2642	124	0	82
1794	9854	5679	28748	197	7	13
1795	561472	759111	1113425	184399	12387	35307
1796	35992	30817	104567	1272	223	116
1797	61063	45008	83492	1162	98	171
1798	461	495	2807	1	0	0
1799	0	13	49	1	0	0
18	19994	18515	58936	3017	1070	483
180	638699	2581411	2033739	910198	89908	767099
1800	87828	75197	144383	16266	2255	2972
1801	3	19	58	1	0	1
1802	68681	77753	148963	15767	2033	5689
1803	90427	116094	184740	30010	3735	10347
1804	91883	76095	163900	10311	1544	3015
1805	146126	118294	268815	22211	4623	3650
1806	136019	82475	308275	14181	3404	2358
1807	83115	68543	173939	9998	2153	1703
1808	17706	5925	21942	547	52	13
1809	157689	116441	338321	10866	1995	1986
181	905973	3607924	2548859	1275829	133078	921398
1810	78371	85800	131209	18314	1291	7259
1811	148590	90497	260531	10864	2241	1814
1812	234481	217079	527462	26848	3296	6738
1813	100719	81579	198802	10788	1730	2974
1814	19272	5493	27108	319	172	10
1815	125604	74253	183693	4787	945	384
1816	112079	77494	144747	3970	313	1320
1817	56621	33121	95387	3985	637	522
1818	181830	101183	350417	10965	2476	1771
1819	700104	500612	1309043	56779	6573	18472
182	545050	2205445	1632261	739214	80943	664788
1820	150154	168060	404310	31482	4105	7239
1821	23773	17387	34059	1790	20	937
1822	84976	53031	146538	6880	1056	983
1823	57345	16063	52454	2214	100	93
1824	100843	47116	123912	4898	732	443
1825	76755	50910	130508	6857	835	1937
1826	138186	130911	319125	6728	1531	682
1827	44402	24760	95015	1775	142	417
1828	183671	103725	328789	12117	2583	1958
1829	125342	94280	179615	5646	646	1519
183	611501	1413911	1742507	454054	39797	178625
1830	79986	96549	154577	21602	1761	8975
1831	41857	22572	67877	1556	291	499
1832	86563	75220	190867	10450	938	2680
1833	48607	25319	97587	1981	598	183
1834	57272	37299	105374	2072	400	324
1835	24124	18162	42211	1929	62	957
1836	173137	196672	534094	29066	4146	6640
1837	24982	17311	52726	564	134	33
1838	81687	66947	123484	3097	230	1094
1839	114725	143533	222077	34671	5410	9512
184	557673	1842763	1760772	653006	17685	386279
1840	37441	9628	36360	465	77	22
1841	169594	201365	391446	41717	6077	10846
1842	109854	64203	171420	7562	1781	1377
1843	134751	109212	234871	9708	1741	1346
1844	152673	136823	387804	20465	6680	3722
1845	9817	7593	32571	41	33	2
1846	169032	125995	324543	17779	3732	2928
1847	56156	21030	78115	2114	132	93
1848	65150	62611	125147	12258	2576	2472
1849	26528	12396	43604	696	173	35
185	458639	2055749	1517687	663107	55712	667317
1850	163723	158804	469249	19290	3320	4090
1851	60665	37840	73270	4796	518	1903
1852	524774	1710946	1354898	499115	45180	271798
1853	472331	607283	805413	130886	2601	18181
1854	515523	1028372	866283	207935	7700	72920
1855	497538	1041543	954651	214075	8529	73997
1856	530063	1056173	920062	223650	16144	75139
1857	582238	1982570	1645048	663132	79803	403271
1858	842883	1593431	1541906	581500	89123	151083
1859	498631	998874	806913	199592	7608	71009
186	584095	2743256	1989027	904817	104641	740724
1860	634428	2149475	1828612	714213	89534	414616
1861	586458	2202056	1764803	747543	83600	459440
1862	522771	1088804	1069943	228658	11037	77828
1863	533284	759802	893034	279537	9568	83007
1864	520483	736316	833957	248282	12678	64991
1865	493187	1011274	848397	203572	5215	73416
1866	496329	1008956	867918	201058	6007	70994
1867	23930	42298	122165	1823	821	129
1868	547477	1429896	1105789	392439	33108	165106
1869	502089	972010	696564	186670	5591	68574
187	1493484	3618015	3181848	1174455	87734	823866
1870	544103	1126097	823359	273492	7188	119433
1871	514685	1031277	895998	207953	7182	72931
1872	538924	1079824	770854	254855	5198	106961
1873	692397	1463329	1956007	424685	32503	179265
1874	18756	15644	44432	510	91	93
1875	560184	1177145	1023400	276684	20897	97620
1876	122120	97954	287341	7582	1852	3093
1877	626647	1193431	1057337	293537	27283	98145
1878	550414	1087124	867106	247379	2663	102733
1879	2023	2704	10841	252	18	156
188	649714	2888214	2225176	1037863	112880	807467
1880	61346	27592	114248	1665	279	493
1881	36641	39218	122553	6600	299	1748
1882	3953	3267	15337	296	23	152
1883	402	196	1055	16	6	0
1884	2186	2117	6354	254	42	90
1885	467	314	1538	92	18	7
1886	1956	1264	5248	129	42	13
1887	134369	119787	282169	5675	1785	208
1888	96	75	212	0	0	0
1889	1780	2391	7470	147	35	139
189	650209	2893970	2224101	1041304	112358	814270
1890	1613	2068	7867	202	28	138
1891	3453	3536	15155	306	31	152
1892	730	1140	2435	97	6	105
1893	27411	25447	55472	5426	153	2457
1894	11502	10318	41825	1280	141	69
1895	846	1254	3016	122	25	108
1896	730	1140	2435	97	6	105
1897	704	1202	2670	126	22	111
1898	833	1037	2435	129	8	71
1899	1063	671	2760	83	16	10
19	59787	100046	202051	12613	1477	6045
190	409475	1978264	1507317	619623	34109	625861
1900	991	2593	10436	320	0	455
1901	45796	24278	67029	3147	547	929
1902	1719	3373	13633	450	43	481
1903	21354	8540	26045	652	75	488
1904	46328	21451	60213	2270	429	803
1905	991	2593	10436	320	0	455
1906	47415	22689	56419	2969	307	959
1907	4815	6759	26431	859	240	635
1908	21455	18409	61760	2335	639	889
1909	34317	22012	62701	2030	395	919
191	429285	1711946	1123122	465402	18368	578084
1910	5547	8069	22006	900	102	765
1911	34891	18990	51715	2213	388	787
1912	6082	5631	17985	577	100	521
1913	108022	76829	158213	5507	658	1569
1914	51926	41773	90406	6006	722	2644
1915	3900	3365	11200	434	19	40
1916	35072	27733	42754	4898	363	2123
1917	184048	111435	348283	5303	1413	523
1918	12807	18584	46470	3017	445	1245
1919	33303	18957	34853	3454	311	1157
192	430367	1955972	1410655	619266	17061	593163
1920	56872	54327	102541	9673	873	3495
1921	3098	1608	6853	81	21	2
1922	41685	33106	59406	5039	538	2431
1923	4194	3838	13514	791	118	104
1924	29018	9212	26831	1220	174	193
1925	30292	17511	35472	2769	198	968
1926	4284	2889	9571	447	26	26
1927	33397	17367	38198	3103	218	983
1928	34347	30843	58996	4566	439	2038
1929	41240	27572	49509	4494	429	1688
193	994226	3745991	2620820	1314022	127183	931829
1930	52929	34150	69587	4424	317	2017
1931	38616	29558	54132	4968	512	2080
1932	8275	5104	14504	1050	91	107
1933	6309	5136	17418	210	58	5
1934	2974	1675	5879	125	21	5
1935	3395	1943	7101	188	23	5
1936	7101	3638	12426	412	45	22
1937	30431	9453	23830	1477	169	193
1938	48722	23556	61240	2870	341	382
1939	46775	19225	56743	1416	265	169
194	43735	43934	146756	1142	521	125
1940	3590	2891	13041	184	0	35
1941	63546	36803	92364	4824	599	724
1942	52866	32987	95955	3895	1323	404
1943	77954	49425	111221	5956	1029	773
1944	84804	66344	159779	13750	2138	2171
1945	60202	34996	80464	2552	274	290
1946	39918	15456	40403	1070	162	135
1947	39330	23553	45885	2042	161	1515
1948	410	331	1800	0	0	0
1949	50952	47195	107941	7380	1451	1628
195	775675	2824276	2453050	1083521	119907	782493
1950	3279	4569	12472	806	96	296
1951	26220	12518	35579	2104	138	781
1952	43655	26402	102934	2153	1060	230
1953	4640	2707	10613	189	26	72
1954	7196	9924	21347	2031	104	746
1955	7169	4979	17641	381	150	67
1956	4206	5632	13857	830	100	352
1957	2909	4133	10499	767	67	288
1958	6105	9523	21304	2058	107	772
1959	5149	7701	16351	1456	75	461
196	546407	2332653	1718225	789760	89026	719426
1960	1207	1009	3512	190	42	22
1961	1937	1684	6760	214	3	76
1962	3476	2880	10503	495	41	137
1963	1610	1037	2524	143	8	13
1964	5668	2803	7840	88	42	13
1965	5900	5498	16708	1123	112	345
1966	3550	2508	7774	544	100	130
1967	611	1536	5289	148	15	70
1968	19955	9979	32154	1156	110	130
1969	19960	9416	46576	794	310	96
197	627992	2514066	2018068	910909	92323	729675
1970	7343	2232	7746	67	45	0
1971	4093	3093	7510	412	42	87
1972	3895	3121	11672	225	32	69
1973	6046	4290	16458	306	93	71
1974	36178	54104	100373	1607	92	52
1975	166964	169725	280847	13379	2048	701
1976	13009	16908	85055	873	219	123
1977	29523	24801	75873	3280	768	436
1978	21121	21870	38234	684	65	268
1979	84881	94306	218587	4083	2017	1536
198	415035	1841769	1240246	497134	19894	602489
1980	63213	309093	411943	40853	152	57068
1981	55602	69989	134607	4312	4	834
1982	256368	362228	756071	44099	4220	16486
1983	7113	3609	13367	152	2	50
1984	8676	9495	32955	220	16	42
1985	162034	253668	586330	33497	2863	15540
1986	57736	72428	139848	4843	98	905
1987	20709	6250	21451	189	3	50
1988	64846	80965	178202	5279	388	972
1989	1095884	1798639	2463652	533203	104954	93068
199	741619	1131847	1204932	435555	7624	172309
1990	118449	159932	266082	12613	1413	1146
1991	51101	65528	125924	3802	0	680
1992	184968	277166	534045	32756	2993	13468
1993	7113	3609	13367	152	2	50
1994	3218	1866	7163	50	30	1
1995	12506	8448	17723	1199	162	425
1996	23718	13039	50553	1185	413	198
1997	19448	12145	52254	1720	392	273
1998	10197	13158	36694	1194	220	314
1999	7474	2970	11114	238	32	27
2	16025	13964	46587	1896	698	291
20	43695	40086	124256	3833	885	871
200	572716	1342692	1156879	481301	14357	331965
2000	15230	11584	33557	1394	420	313
2001	74184	47274	133536	5788	1473	727
2002	27180	13394	51767	1238	521	271
2003	8566	2847	11517	230	84	31
2004	10113	3546	16270	231	96	32
2005	7836	1475	9521	81	81	0
2006	18658	15839	40985	2258	422	640
2007	9411	4399	16800	161	118	3
2008	8566	2847	11517	230	84	31
2009	6157	4095	15773	692	99	134
201	18365	20113	49028	817	238	69
2010	196436	89200	332403	8567	1980	1359
2011	5026	6083	23202	784	117	367
2012	26625	18591	65008	2051	400	659
2013	52265	24259	78020	3752	1131	845
2014	9845	5862	18888	768	161	96
2015	9755	11599	35048	1017	174	220
2016	3027	2325	7909	450	17	87
2017	7976	9898	28810	1203	267	487
2018	13679	6539	22940	759	298	104
2019	38298	21623	85871	1188	249	92
202	531596	1938024	1741668	678290	16332	433970
2020	9616	7785	22341	890	176	175
2021	31045	16938	87366	1039	318	120
2022	6267	5325	16691	467	123	118
2023	22240	9667	31887	138	37	5
2024	5377	4137	11440	369	55	109
2025	2369	1283	6743	93	27	3
2026	1857	1464	6278	187	7	42
2027	24476	15387	48511	814	199	93
2028	37799	15311	77760	973	280	93
2029	910	392	3429	21	6	0
203	557400	1738535	1581158	459020	17941	483867
2030	148718	201287	355860	24828	2192	12770
2031	155292	200724	364139	22371	2664	12927
2032	595875	1362208	1595010	380965	30039	150744
2033	11748	2001	14477	15	27	0
2034	58376	66808	119162	14671	2183	3859
2035	21315	18825	48155	2147	415	271
2036	29204	23439	46312	3165	503	331
2037	14495	10519	23545	760	166	53
2038	37004	27607	58125	4203	630	494
2039	7655	4418	17850	264	61	21
204	828636	3490758	2475419	1278518	137147	898606
2040	3025	2905	12213	224	37	11
2041	75423	67956	124534	9309	1584	1795
2042	415	352	876	26	8	1
2043	2348	4421	11834	533	52	275
2044	1412	2375	5077	314	9	245
2045	1972	1697	7398	193	33	40
2046	1792	2269	11464	30	4	2
2047	56868	54327	92379	11722	700	3510
2048	35145	13747	46505	1489	323	188
2049	54989	40540	81410	7548	230	1568
205	704309	2765681	2189181	1022715	83289	796605
2050	4786	2055	14509	56	33	2
2051	215	214	2206	56	2	7
2052	199780	266284	443065	35468	2593	16130
2053	7378	2363	14229	53	26	1
2054	11111	4180	11449	104	1	4
2055	16463	4058	16085	63	36	2
2056	24270	11364	49311	547	158	56
2057	29722	22845	83706	3219	987	476
2058	110485	141464	347316	24810	1972	8734
2059	26527	7013	27885	299	154	21
206	771191	3211022	2473096	1172750	133471	814852
2060	22566	11634	42593	1008	224	93
2061	12474	10844	41815	398	272	43
2062	44584	50030	139655	3098	309	429
2063	78214	53697	159223	2481	1296	184
2064	143	77	2013	0	0	0
2065	69768	140642	261920	31686	3802	11744
2066	82192	112703	192171	20347	2487	7609
2067	67574	68592	108603	7324	440	1764
2068	66691	116174	213178	26001	3312	8717
2069	31817	31873	62633	6598	49	1838
207	643606	2819707	2215817	988625	119013	767851
2070	58211	43081	94607	6956	1865	938
2071	37818	34099	65311	6863	301	1514
2072	66328	79363	147493	17339	3267	3681
2073	96967	124311	211032	23301	3554	7737
2074	83061	121706	204737	28708	3644	8750
2075	116251	170830	294385	38024	3833	11349
2076	74880	75532	167578	12519	2335	2368
2077	69469	97645	158053	15338	926	6240
2078	61774	90145	186897	20428	2218	5743
2079	81490	125278	208949	32529	5605	8343
208	1340989	3796473	3003239	1269676	111573	887020
2080	123852	125938	272956	22795	4188	6756
2081	76805	112694	224173	25193	3947	6906
2082	33723	24878	53975	3437	576	388
2083	31869	17731	44537	1526	174	45
2084	74259	75132	130759	16642	2932	3246
2085	109155	151990	290960	30927	4334	10606
2086	76452	98106	151192	15376	1012	6102
2087	51191	44164	80627	9019	313	2704
2088	45085	26318	63820	2831	810	104
2089	92275	92420	170944	19569	3146	6356
209	487576	1640981	1036957	438060	15404	530306
2090	76203	113401	196010	27068	3209	8224
2091	58711	82588	162828	15233	1336	4569
2092	68216	58787	83768	5262	198	708
2093	70347	72698	148319	14305	1763	3224
2094	571584	973829	1264521	313242	18963	99927
2095	521805	786423	931145	266624	8764	78249
2096	287910	358195	466784	62784	3425	5489
2097	6015	6773	26608	75	24	1
2098	270356	311769	593866	29059	7677	1770
2099	30451	30338	78768	267	233	7
21	12739	16778	28180	3701	144	2286
210	854653	3382780	2503865	1256576	130992	870028
2100	38230	39267	129062	1676	498	118
2101	486870	584661	833305	138635	9116	18488
2102	28377	39429	134151	1910	747	185
2103	12277	29371	92059	1615	92	339
2104	98789	135882	259062	8562	2379	644
2105	58790	80788	164603	3340	1190	282
2106	30708	38033	71076	721	281	14
2107	444304	568357	770331	131272	10759	18100
2108	171687	184508	332890	14213	1453	801
2109	535398	766238	945604	230454	9230	55499
211	568653	2368542	1819846	806826	84535	722568
2110	343322	399689	525012	86403	2145	8786
2111	137901	140517	213092	7278	1149	154
2112	350400	395044	534735	67301	4229	5695
2113	11662	37926	123108	2765	309	437
2114	448913	577444	843992	132141	15456	16988
2115	167999	209365	508201	14083	5783	1023
2116	8734	16812	61079	658	169	71
2117	12680	21952	81825	803	317	84
2118	466365	453162	627873	91815	5687	8350
2119	26616	33803	64510	512	210	6
212	404450	1916053	1376720	584334	28518	623137
2120	11654	20615	57266	790	16	45
2121	141182	185395	339893	24527	1964	13874
2122	21838	32731	76197	7941	1339	1240
2123	40446	73683	80015	15296	444	11209
2124	64311	114106	143712	20446	1382	14151
2125	145907	189869	367262	23894	2492	11981
2126	24434	29605	50914	8849	47	1710
2127	58987	90980	149028	23619	1569	11772
2128	41606	78542	92185	15067	340	11401
2129	31153	13785	46551	1099	105	82
213	664184	2647651	2153543	908098	51114	755344
2130	146153	189599	444918	26828	1896	14090
2131	24900	20426	77354	2038	364	577
2132	41705	71992	78145	14183	328	10451
2133	40032	75632	88064	15464	430	11843
2134	24932	25716	74529	3657	22	322
2135	59730	108457	150898	25611	1809	13974
2136	77338	123573	236923	20162	1510	12015
2137	725800	1114730	1239803	433551	14095	147060
2138	768332	1204630	1492705	439570	24382	146996
2139	818929	894307	879699	403469	6	109736
214	962291	3623185	2630393	1301221	152009	901162
2140	771353	1171434	1482821	429029	13634	144700
2141	492867	544356	865204	174022	354	19662
2142	465398	1152600	1356821	375317	31185	150599
2143	482047	1202508	1433858	408499	23590	161917
2144	360094	800170	1034094	161245	16306	83982
2145	657016	2109059	2005451	702886	21837	436019
2146	744036	1035175	928268	456993	1500	209633
2147	727597	1096417	1068198	445425	7985	183643
2148	475552	523384	728056	173627	73	19653
2149	543948	653558	722961	201852	2412	28555
215	243116	247181	265869	18663	828	573
2150	476647	1127129	1315953	356361	22601	138743
2151	667765	1041846	1022042	433110	1777	200885
2152	311096	664492	715320	129580	5100	79898
2153	502806	1135320	1427212	333256	24826	129251
2154	664439	959320	1305208	372126	3685	111344
2155	500232	1240780	1431656	429273	38203	171796
2156	479632	524274	733362	173686	93	19653
2157	729260	1138999	1404014	426776	4534	173940
2158	497835	1012682	1178434	322459	18364	95015
2159	763015	2054594	2126191	700487	24127	369663
216	477593	1402813	964460	380116	2246	465318
2160	76897	96428	146855	4153	478	104
2161	30753	61137	177683	2589	1376	320
2162	196605	203953	325448	17814	2343	631
2163	2709	7352	22951	41	3	2
2164	45255	70489	135356	2296	726	204
2165	0	1	26	0	0	0
2166	0	0	2	0	0	0
2167	98	53	747	3	0	0
2168	33822	17873	51989	2629	309	328
2169	14050	12412	43476	116	61	0
217	993746	3614667	2679385	1313274	136325	909496
2170	61871	37257	117364	5288	495	743
2171	21837	7630	38432	257	108	14
2172	1022	683	5419	0	9	0
2173	45226	33531	100394	4792	1181	647
2174	16	7	357	0	0	0
2175	2565	879	4222	1	0	1
2176	1918	2267	6728	24	0	1
2177	3422	322	3222	0	0	0
2178	43819	17700	45138	1564	161	447
2179	22505	18850	22641	25	16	5
218	456263	1654145	1161614	445290	18082	532055
2180	52148	41275	114322	5709	229	1280
2181	50318	31713	117546	1401	512	125
2182	19542	18132	32432	115	86	8
2183	9046	9740	48398	146	57	14
2184	55602	29744	49229	193	120	33
2185	15983	14322	16251	22	9	0
2186	972	912	7538	28	2	26
2187	74616	44079	108663	687	201	29
2188	14492	18984	50782	326	76	87
2189	118	369	1487	28	0	26
219	816881	3142458	2467348	1082794	115858	831321
2190	7569	9999	20626	89	0	20
2191	14051	11408	32901	1421	112	254
2192	31064	29772	78317	5158	536	1124
2193	46357	27795	105631	2567	554	603
2194	4518	1821	13323	236	0	10
2195	31734	31198	69986	4796	926	693
2196	97518	111273	222649	23098	4642	5401
2197	43872	23200	68909	1521	407	179
2198	2648	2243	12210	0	0	0
2199	603	1146	9304	0	0	0
22	84553	87402	237052	14386	3594	3371
220	640118	1536911	1566593	545031	32636	281164
2200	18847	11700	41696	837	71	211
2201	106405	69975	243599	3023	1347	255
2202	11862	15578	38635	2451	245	1039
2203	44875	30643	63769	5193	669	1667
2204	16578	24872	59920	3766	348	1668
2205	10298	12723	31808	2527	235	907
2206	4489	4141	13549	421	92	211
2207	1373	1123	4556	181	13	16
2208	9795	2171	9747	145	35	5
2209	6279	6906	17303	1230	74	403
221	562741	1416382	1572798	536246	25681	232307
2210	5014	4860	11112	710	10	361
2211	5480	5594	20586	674	30	299
2212	7197	8889	19792	1803	61	749
2213	9868	2095	9429	138	33	4
2214	1189	2120	5319	312	5	210
2215	4478	1756	5202	137	2	5
2216	1189	2120	5319	312	5	210
2217	7325	6849	21339	671	174	253
2218	30578	47125	91840	9130	792	3030
2219	364503	823371	935839	179880	7967	93812
222	646878	1018568	1365609	268049	62066	40463
2220	72333	331684	487589	43147	357	59248
2221	62030	308938	420109	42476	270	59601
2222	630089	1254476	1454791	361907	34293	107831
2223	479474	1081887	1140461	289069	19435	124497
2224	56371	301155	432132	42713	419	56928
2225	66720	318030	438021	40287	261	57250
2226	433555	886296	995144	272947	16362	79353
2227	56888	290099	398470	39483	54	54743
2228	139072	443436	568082	64403	2420	69291
2229	78736	331135	434197	46017	482	59006
223	1112282	3030675	2781348	798887	48476	721277
2230	77095	354233	481786	51266	614	62703
2231	693619	1158940	1526431	289553	29903	67993
2232	489892	782190	879454	179069	16700	43765
2233	82885	346693	446736	48781	918	63854
2234	517952	1143637	1295334	313776	21890	130422
2235	150834	146151	208069	9219	682	365
2236	374617	530692	559809	105690	5411	19848
2237	85886	111200	276142	15424	1308	2763
2238	569007	1324989	1484678	374738	28824	150223
2239	58935	308346	412563	42263	148	59574
224	1633521	3449648	3453617	737421	66991	635140
2240	479102	1100319	1203271	304818	22443	129487
2241	50819	297048	409796	42423	256	56640
2242	61606	304096	406835	41398	121	58483
2243	358933	749474	891175	132775	11324	81664
2244	61820	315322	432681	42538	299	59501
2245	230160	284183	424422	41686	4014	5326
2246	70294	353920	485354	54399	908	65044
2247	63395	303939	403400	40596	115	57062
2248	49346	304040	430117	43534	276	59767
2249	261643	639306	763102	126494	8704	78210
225	454468	2081561	1581698	622039	39373	647816
2250	66579	298100	393202	38957	113	56225
2251	185538	520547	699419	79071	6219	68776
2252	82967	342697	430851	47654	674	61603
2253	8135	8141	27017	385	67	25
2254	66860	319077	455386	43914	627	61679
2255	64758	300655	400585	39791	124	57646
2256	287320	408317	473912	72376	2443	15907
2257	168153	480192	594685	69203	1803	69485
2258	67575	112566	251537	20607	211	2798
2259	464973	1048030	1238042	291909	27240	113385
226	572575	2686394	1972330	906463	110897	752255
2260	197804	341251	582642	61867	5024	21401
2261	110241	393610	517945	53621	1777	64077
2262	63371	301534	399408	40525	110	57062
2263	66652	318600	435812	39867	138	57648
2264	76918	355751	548021	47899	1006	62436
2265	34317	12798	36208	463	150	86
2266	66579	298100	393202	38957	113	56225
2267	591406	1289120	1548328	351350	30120	139630
2268	57081	292762	402904	39286	13	54740
2269	61565	315548	435495	42562	615	59518
227	649802	2779916	2042656	758651	29464	682652
2270	479518	1089729	1160800	291601	19589	126246
2271	69751	332671	480368	45795	362	60012
2272	528247	1166595	1307237	314496	23773	131453
2273	63371	301534	399408	40525	110	57062
2274	165962	488533	632280	72686	1886	68876
2275	64407	302521	404197	40257	122	57672
2276	77180	362120	472979	54235	735	66667
2277	168650	159491	240275	9191	593	488
2278	222547	230164	368458	20719	1422	868
2279	197072	237520	541619	19675	4579	13585
228	826005	3211294	2422080	1104646	108008	843487
2280	23521	21586	87877	733	32	116
2281	31040	43344	131366	1473	374	167
2282	18363	12540	63593	650	130	108
2283	27281	35410	126655	1136	224	142
2284	18241	13059	47795	609	101	161
2285	8642	5147	27364	212	30	36
